Gmt time,Open,High,Low,Close,Volume
28.07.2019 21:00:00.000,1.23737,1.23828,1.20791,1.21572,1034895.7917999999
04.08.2019 21:00:00.000,1.21579,1.22093,1.20214,1.20214,987551.3908999999
11.08.2019 21:00:00.000,1.20448,1.21753,1.20148,1.21425,1064588.1079999998
18.08.2019 21:00:00.000,1.21533,1.22935,1.20639,1.22824,861858.3419999998
25.08.2019 21:00:00.000,1.22649,1.23097,1.21389,1.21573,985679.4094000006
01.09.2019 21:00:00.000,1.21472,1.23537,1.19581,1.22800,968085.0112000004
08.09.2019 21:00:00.000,1.22703,1.25056,1.22330,1.24974,830037.3160999998
15.09.2019 21:00:00.000,1.24741,1.25821,1.23921,1.24751,821331.3726
22.09.2019 21:00:00.000,1.24657,1.25028,1.22707,1.22851,844373.3897999998
29.09.2019 21:00:00.000,1.22901,1.24127,1.22044,1.23291,878526.0404999999
06.10.2019 21:00:00.000,1.23068,1.27070,1.21949,1.26408,935881.6616000002
13.10.2019 21:00:00.000,1.26242,1.29892,1.25156,1.29802,1023631.7429999998
20.10.2019 21:00:00.000,1.29498,1.30120,1.27880,1.28234,921138.1102000002
27.10.2019 21:00:00.000,1.28111,1.29756,1.28062,1.29368,780926.2126999998
03.11.2019 22:00:00.000,1.29268,1.29424,1.27684,1.27714,649773.9061999999
10.11.2019 22:00:00.000,1.27978,1.29189,1.27853,1.28998,575853.7873000001
17.11.2019 22:00:00.000,1.29239,1.29854,1.28232,1.28283,597386.5432999999
24.11.2019 22:00:00.000,1.28554,1.29506,1.28271,1.29132,551060.9188000003
01.12.2019 22:00:00.000,1.29093,1.31662,1.28959,1.31319,611371.9310000004
08.12.2019 22:00:00.000,1.31340,1.35149,1.30503,1.33266,818780.4196
15.12.2019 22:00:00.000,1.33349,1.34218,1.29783,1.29952,894849.0414000003
22.12.2019 22:00:00.000,1.30019,1.31169,1.29045,1.30758,491506.24860000005
29.12.2019 22:00:00.000,1.30848,1.32840,1.30531,1.30787,702907.6223999995
05.01.2020 22:00:00.000,1.30808,1.32120,1.30126,1.30569,860299.329999998
12.01.2020 22:00:00.000,1.30347,1.31184,1.29542,1.30058,724348.0399999974
19.01.2020 22:00:00.000,1.29915,1.31739,1.29617,1.30701,684491.1098999985
